chapter_index,chapter_label,anna_count,levin_count,primary
1,Chapter 1,0,0,none
2,Chapter 2,2,0,Anna
3,Chapter 3,0,0,none
4,Chapter 4,2,0,Anna
5,Chapter 5,1,33,Levin
6,Chapter 6,0,11,Levin
7,Chapter 7,0,6,Levin
8,Chapter 8,0,18,Levin
9,Chapter 9,0,26,Levin
10,Chapter 10,0,28,Levin
11,Chapter 11,0,15,Levin
12,Chapter 12,0,12,Levin
13,Chapter 13,0,6,Levin
14,Chapter 14,0,41,Levin
15,Chapter 15,0,7,Levin
16,Chapter 16,0,0,none
17,Chapter 17,1,4,Levin
18,Chapter 18,4,0,Anna
19,Chapter 19,23,0,Anna
20,Chapter 20,23,0,Anna
21,Chapter 21,14,0,Anna
22,Chapter 22,11,1,Anna
23,Chapter 23,16,1,Anna
24,Chapter 24,0,17,Levin
25,Chapter 25,0,18,Levin
26,Chapter 26,0,9,Levin
27,Chapter 27,0,8,Levin
28,Chapter 28,22,0,Anna
29,Chapter 29,8,0,Anna
30,Chapter 30,1,0,Anna
31,Chapter 31,6,0,Anna
32,Chapter 32,11,0,Anna
33,Chapter 33,12,0,Anna
34,Chapter 34,0,0,none
35,Chapter 1,0,0,none
36,Chapter 2,1,2,Levin
37,Chapter 3,0,5,Levin
38,Chapter 4,9,0,Anna
39,Chapter 5,0,0,none
40,Chapter 6,5,0,Anna
41,Chapter 7,15,0,Anna
42,Chapter 8,1,0,Anna
43,Chapter 9,10,0,Anna
44,Chapter 10,1,0,Anna
45,Chapter 11,4,0,Anna
46,Chapter 12,0,4,Levin
47,Chapter 13,0,31,Levin
48,Chapter 14,0,19,Levin
49,Chapter 15,0,18,Levin
50,Chapter 16,0,18,Levin
51,Chapter 17,0,15,Levin
52,Chapter 18,1,0,Anna
53,Chapter 19,1,0,Anna
54,Chapter 20,0,0,none
55,Chapter 21,3,0,Anna
56,Chapter 22,2,0,Anna
57,Chapter 23,4,0,Anna
58,Chapter 24,2,0,Anna
59,Chapter 25,0,0,none
60,Chapter 26,4,0,Anna
61,Chapter 27,6,0,Anna
