name,first,second,total,total_rank,first_pct,second_pct
Levin,781,835,1616,1,48.32920792079208,51.670792079207914
He,614,706,1320,2,46.515151515151516,53.48484848484848
The,552,545,1097,3,50.319051959890615,49.68094804010939
But,541,536,1077,4,50.23212627669452,49.76787372330548
And,494,546,1040,5,47.5,52.5
She,458,433,891,6,51.402918069584736,48.597081930415264
Vronsky,476,386,862,7,55.22041763341067,44.779582366589324
Anna,327,421,748,8,43.716577540106954,56.28342245989305
Kitty,371,295,666,9,55.70570570570571,44.294294294294296
It,288,307,595,10,48.403361344537814,51.59663865546219
Alexandrovitch,329,240,569,11,57.82073813708261,42.1792618629174
Arkadyevitch,276,272,548,12,50.36496350364964,49.63503649635037
You,269,257,526,13,51.14068441064639,48.85931558935361
What,241,212,453,14,53.20088300220751,46.799116997792495
Yes,216,224,440,15,49.09090909090909,50.90909090909091
Well,178,186,364,16,48.9010989010989,51.098901098901095
No,195,155,350,17,55.714285714285715,44.285714285714285
Oh,170,168,338,18,50.29585798816568,49.70414201183432
Dolly,128,179,307,19,41.69381107491857,58.306188925081436
Ivanovitch,109,185,294,20,37.07482993197279,62.925170068027214
